               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.015378,           0.0080808,           0.0048691,             0.97189,             0.98324,             0.98813,             0.90261,            0.010629,           0.0049267,           0.0030112,           0.0023275,           0.0023275,           0.0023275
                  95,             0.01516,           0.0081438,           0.0048568,             0.97211,             0.98307,             0.98816,             0.90282,            0.010616,           0.0049195,           0.0029945,            0.002245,            0.002245,            0.002245
                  96,            0.015165,           0.0080397,           0.0047673,             0.97216,             0.98318,             0.98818,              0.9034,            0.010598,           0.0049107,           0.0029783,           0.0021625,           0.0021625,           0.0021625
                  97,            0.014795,           0.0079959,           0.0046443,             0.97175,             0.98378,              0.9882,             0.90344,            0.010586,           0.0049048,           0.0029621,             0.00208,             0.00208,             0.00208
                  98,            0.014826,            0.007897,           0.0045533,             0.97163,             0.98405,             0.98823,             0.90367,            0.010578,           0.0048963,           0.0029461,           0.0019975,           0.0019975,           0.0019975
                  99,            0.014627,           0.0079776,            0.004541,             0.97181,             0.98399,             0.98826,             0.90407,            0.010569,           0.0048877,           0.0029296,            0.001915,            0.001915,            0.001915
                 100,            0.014421,           0.0078472,           0.0044224,             0.97161,             0.98424,             0.98829,             0.90415,            0.010562,            0.004879,           0.0029127,           0.0018325,           0.0018325,           0.0018325
                 101,            0.014534,           0.0078931,           0.0045874,             0.97162,             0.98434,             0.98832,             0.90431,            0.010557,           0.0048731,           0.0028962,             0.00175,             0.00175,             0.00175
                 102,            0.014211,           0.0077565,              0.0045,             0.97193,             0.98386,             0.98835,             0.90457,            0.010549,           0.0048653,           0.0028783,           0.0016675,           0.0016675,           0.0016675
                 103,            0.014067,            0.007792,           0.0043381,             0.97132,             0.98436,             0.98837,             0.90459,            0.010541,            0.004859,           0.0028608,            0.001585,            0.001585,            0.001585
                 104,             0.01392,           0.0076697,           0.0042539,             0.97178,             0.98394,             0.98839,             0.90493,            0.010529,            0.004851,            0.002843,           0.0015025,           0.0015025,           0.0015025
                 105,            0.013774,           0.0076375,           0.0042101,             0.97201,             0.98383,             0.98842,             0.90512,            0.010516,           0.0048424,           0.0028243,             0.00142,             0.00142,             0.00142
                 106,             0.01356,           0.0075548,           0.0040598,             0.97026,             0.98572,             0.98844,             0.90513,              0.0105,            0.004835,           0.0028052,           0.0013375,           0.0013375,           0.0013375
                 107,            0.013391,           0.0076268,           0.0041357,             0.97002,             0.98597,             0.98846,             0.90551,            0.010484,           0.0048273,           0.0027851,            0.001255,            0.001255,            0.001255
                 108,            0.013312,           0.0074718,           0.0040347,             0.97183,             0.98406,             0.98849,             0.90574,            0.010475,           0.0048205,           0.0027644,           0.0011725,           0.0011725,           0.0011725
                 109,            0.013138,           0.0074818,           0.0039627,             0.97257,             0.98334,             0.98852,             0.90596,            0.010457,           0.0048117,           0.0027441,             0.00109,             0.00109,             0.00109
